time,event_type,details
1.9463999999999988,CWND_UPDATE,20
1.9469999999998964,PACKET_SEND,"Packet(seq=58, size=1500, flow=1)"
1.9975999999999987,CWND_UPDATE,21
1.9979999999998908,PACKET_SEND,"Packet(seq=59, size=1500, flow=1)"
1.9989999999998906,PACKET_SEND,"Packet(seq=60, size=1500, flow=1)"
2.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
2.0009999999998906,PACKET_SEND,"Packet(seq=61, size=1500, flow=1)"
2.0487999999999986,CWND_UPDATE,2
2.0489999999998854,PACKET_SEND,"Packet(seq=62, size=1500, flow=1)"
2.0999999999999988,CWND_UPDATE,3
2.1009999999998796,PACKET_SEND,"Packet(seq=63, size=1500, flow=1)"
2.151199999999999,CWND_UPDATE,4
2.151999999999874,PACKET_SEND,"Packet(seq=64, size=1500, flow=1)"
2.202399999999999,CWND_UPDATE,5
2.2029999999998684,PACKET_SEND,"Packet(seq=65, size=1500, flow=1)"
2.253599999999999,CWND_UPDATE,6
2.253999999999863,PACKET_SEND,"Packet(seq=66, size=1500, flow=1)"
2.3047999999999993,CWND_UPDATE,7
2.304999999999857,PACKET_SEND,"Packet(seq=67, size=1500, flow=1)"
2.3559999999999994,CWND_UPDATE,8
2.3569999999998514,PACKET_SEND,"Packet(seq=68, size=1500, flow=1)"
2.4071999999999996,CWND_UPDATE,9
2.407999999999846,PACKET_SEND,"Packet(seq=69, size=1500, flow=1)"
2.4583999999999997,CWND_UPDATE,10
2.45899999999984,PACKET_SEND,"Packet(seq=70, size=1500, flow=1)"
2.5096,CWND_UPDATE,11
2.5099999999998346,PACKET_SEND,"Packet(seq=71, size=1500, flow=1)"
2.5608,CWND_UPDATE,12
2.560999999999829,PACKET_SEND,"Packet(seq=72, size=1500, flow=1)"
2.612,CWND_UPDATE,13
2.6129999999998232,PACKET_SEND,"Packet(seq=73, size=1500, flow=1)"
2.6632000000000002,CWND_UPDATE,14
2.6639999999998176,PACKET_SEND,"Packet(seq=74, size=1500, flow=1)"
2.7144000000000004,CWND_UPDATE,15
2.714999999999812,PACKET_SEND,"Packet(seq=75, size=1500, flow=1)"
2.7656000000000005,CWND_UPDATE,16
2.7659999999998064,PACKET_SEND,"Packet(seq=76, size=1500, flow=1)"
2.8168000000000006,CWND_UPDATE,17
2.8169999999998008,PACKET_SEND,"Packet(seq=77, size=1500, flow=1)"
2.8680000000000008,CWND_UPDATE,18
2.868999999999795,PACKET_SEND,"Packet(seq=78, size=1500, flow=1)"
2.919200000000001,CWND_UPDATE,19
2.9199999999997894,PACKET_SEND,"Packet(seq=79, size=1500, flow=1)"
2.970400000000001,CWND_UPDATE,20
2.970999999999784,PACKET_SEND,"Packet(seq=80, size=1500, flow=1)"
3.0,TIMEOUT,"{'new_ssthresh': 10, 'new_cwnd': 1}"
3.0009999999997805,PACKET_SEND,"Packet(seq=81, size=1500, flow=1)"
3.021600000000001,CWND_UPDATE,2
3.021999999999778,PACKET_SEND,"Packet(seq=82, size=1500, flow=1)"
3.0728000000000013,CWND_UPDATE,3
3.0729999999997726,PACKET_SEND,"Packet(seq=83, size=1500, flow=1)"
3.1240000000000014,CWND_UPDATE,4
3.124999999999767,PACKET_SEND,"Packet(seq=84, size=1500, flow=1)"
3.1752000000000016,CWND_UPDATE,5
3.1759999999997612,PACKET_SEND,"Packet(seq=85, size=1500, flow=1)"
3.2264000000000017,CWND_UPDATE,6
3.2269999999997556,PACKET_SEND,"Packet(seq=86, size=1500, flow=1)"
3.277600000000002,CWND_UPDATE,7
3.27799999999975,PACKET_SEND,"Packet(seq=87, size=1500, flow=1)"
3.328800000000002,CWND_UPDATE,8
3.3289999999997444,PACKET_SEND,"Packet(seq=88, size=1500, flow=1)"
3.380000000000002,CWND_UPDATE,9
3.3809999999997387,PACKET_SEND,"Packet(seq=89, size=1500, flow=1)"
3.4312000000000022,CWND_UPDATE,10
3.431999999999733,PACKET_SEND,"Packet(seq=90, size=1500, flow=1)"
3.4824000000000024,CWND_UPDATE,11
3.4829999999997274,PACKET_SEND,"Packet(seq=91, size=1500, flow=1)"
3.5336000000000025,CWND_UPDATE,12
3.533999999999722,PACKET_SEND,"Packet(seq=92, size=1500, flow=1)"
3.5848000000000027,CWND_UPDATE,13
3.584999999999716,PACKET_SEND,"Packet(seq=93, size=1500, flow=1)"
3.636000000000003,CWND_UPDATE,14
