2025-12-01 01:25:56,647 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,657 - INFO - Logger initialized
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.23000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F79850>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.23000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F79850>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.24000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F469E0>
2025-12-01 01:25:56,721 - DEBUG - Recorded event: time=0.24000000000000007, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F469E0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.2900000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F231D0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.2900000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F231D0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.3000000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F232F0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.3000000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F232F0>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.3200000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23350>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.3200000000000001, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23350>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.34000000000000014, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23530>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.34000000000000014, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23530>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.35000000000000014, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23410>
2025-12-01 01:25:56,722 - DEBUG - Recorded event: time=0.35000000000000014, event_type=RANDOM, details=<test_loss.DummyPacket object at 0x000001E105F23410>
