prefix,throughput_mbps,mean_rtt_ms,mean_queue_delay_ms,congestion_losses,random_losses,timeouts
logs/exp1_no_loss,0.19675915395626237,1391.5696602285946,1351.5696602285946,895,0,0
logs/exp2_random_low_loss,0.23925657363004402,1158.9082601395912,1118.9082601395912,655,10,0
logs/exp3_random_high_loss,0.08272642014533498,237.2701416062865,197.2701416062865,0,1131,0
logs/exp4_bursty_small_queue,0.500203817912262,628.5803799712448,588.5803799712448,0,186,0
logs/exp5_bursty_big_queue,0.54570264113867,685.990999969844,645.990999969844,0,156,0
